	AbsoluteDifferenceBestKnownToBest	Best training solution generation	Best training solution quality	Best training solution.Average relative error (test)	Best training solution.Average relative error (training)	Best training solution.Estimation Limits Results.Estimation Limits	Best training solution.Estimation Limits Results.Test Lower Estimation Limit Hits	Best training solution.Estimation Limits Results.Test NaN Evaluations	Best training solution.Estimation Limits Results.Test Upper Estimation Limit Hits	Best training solution.Estimation Limits Results.Training Lower Estimation Limit Hits	Best training solution.Estimation Limits Results.Training NaN Evaluations	Best training solution.Estimation Limits Results.Training Upper Estimation Limit Hits	Best training solution.Mean absolute error (test)	Best training solution.Mean absolute error (training)	Best training solution.Mean squared error (test)	Best training solution.Mean squared error (training)	Best training solution.Model Depth	Best training solution.Model Length	Best training solution.Normalized mean squared error (test)	Best training solution.Normalized mean squared error (training)	Best training solution.Pearson's R² (test)	Best training solution.Pearson's R² (training)	Best training solution.ProblemData	Best training solution.Root mean squared error (test)	Best training solution.Root mean squared error (training)	BestQuality	CurrentAverageQuality	CurrentBestQuality	EstimationLimits	Execution Time	FitnessCalculationPartition	Problem Name	ProblemData	ProblemData.TestPartition	ProblemData.TrainingPartition	RelativeDifferenceBestKnownToBest	Seed	SymbolicExpressionTreeInterpreter.EvaluatedSolutions	Variable impacts
Test_01_Keijzer Run 1	-0.02547069737442087	94	0.9445293026255791	NaN	NaN	Lower: -3.18245341144794, Upper: 3.09451959610008	0	0	0	0	0	0	0.020451795273833461	0.021110353249240373	0.00063135573765001887	0.00065476609871794266	15	23	0.051983016388974533	0.055470697374421334	0.94827225898778433	0.9445293026255791	Keijzer 1 f(x) = 0.3 * x *sin(2 * PI * x); Interval [-1, 1]	0.025126793222574561	0.025588397736434038	0.9445293026255791	0.072185427111843864	0.9445293026255791	Lower: -3.18245341144794, Upper: 3.09451959610008	00:00:04.7803774	Start: 0, End: 21	Keijzer 1 f(x) = 0.3 * x *sin(2 * PI * x); Interval [-1, 1]	Keijzer 1 f(x) = 0.3 * x *sin(2 * PI * x); Interval [-1, 1]	Start: 21, End: 2022	Start: 0, End: 21	-2.62584509014648 %	2110526512	37118	[[1]]
Test_01_Keijzer Run 2	0.00059644661129920618	105	0.97059644661129918	NaN	NaN	Lower: -3.18245341144794, Upper: 3.09451959610008	0	0	0	0	0	0	0.015926341955919909	0.016781998365859051	0.00036324781334963805	0.00034707423652549749	15	28	0.029908205324777868	0.02940355338870056	0.97024858784028833	0.97059644661129918	Keijzer 1 f(x) = 0.3 * x *sin(2 * PI * x); Interval [-1, 1]	0.019059061187520179	0.018629928516381847	0.97059644661129918	0.10133058394889484	0.97059644661129918	Lower: -3.18245341144794, Upper: 3.09451959610008	00:00:05.1191443	Start: 0, End: 21	Keijzer 1 f(x) = 0.3 * x *sin(2 * PI * x); Interval [-1, 1]	Keijzer 1 f(x) = 0.3 * x *sin(2 * PI * x); Interval [-1, 1]	Start: 21, End: 2022	Start: 0, End: 21	0.0614893413710522 %	1522148231	37153	[[1]]
Test_01_Keijzer Run 3	-0.0085343979360872346	106	0.96146560206391274	NaN	NaN	Lower: -3.18245341144794, Upper: 3.09451959610008	0	0	0	0	0	0	0.018592593448072806	0.018787907852525945	0.00045983678144419389	0.00045485307734189522	13	18	0.037860910292886733	0.038534397936087157	0.96225655994244574	0.96146560206391274	Keijzer 1 f(x) = 0.3 * x *sin(2 * PI * x); Interval [-1, 1]	0.02144380519973528	0.021327284809414798	0.96146560206391274	0.04991112404951821	0.96146560206391274	Lower: -3.18245341144794, Upper: 3.09451959610008	00:00:05.6427927	Start: 0, End: 21	Keijzer 1 f(x) = 0.3 * x *sin(2 * PI * x); Interval [-1, 1]	Keijzer 1 f(x) = 0.3 * x *sin(2 * PI * x); Interval [-1, 1]	Start: 21, End: 2022	Start: 0, End: 21	-0.87983483877188 %	871594150	37138	[[1]]
Test_01_Keijzer Run 4	0.016886072136576447	111	0.98688607213657642	NaN	NaN	Lower: -3.18245341144794, Upper: 3.09451959610008	0	0	0	0	0	0	0.011532721384821535	0.010414085538747392	0.00017026716835848236	0.000154794437287203	13	16	0.014019039466130022	0.013113927863423424	0.98600383564775451	0.98688607213657642	Keijzer 1 f(x) = 0.3 * x *sin(2 * PI * x); Interval [-1, 1]	0.013048646227041423	0.012441641261795125	0.98688607213657642	0.064267460273918678	0.98688607213657642	Lower: -3.18245341144794, Upper: 3.09451959610008	00:00:05.8399081	Start: 0, End: 21	Keijzer 1 f(x) = 0.3 * x *sin(2 * PI * x); Interval [-1, 1]	Keijzer 1 f(x) = 0.3 * x *sin(2 * PI * x); Interval [-1, 1]	Start: 21, End: 2022	Start: 0, End: 21	1.7408321790285 %	1747921678	37128	[[1]]
Test_01_Keijzer Run 5	-0.029438667519724793	75	0.94056133248027518	NaN	NaN	Lower: -3.18245341144794, Upper: 3.09451959610008	0	0	0	0	0	0	0.046326829864285053	0.023900233922883124	0.0048619999163658926	0.0007016033020495146	11	21	0.40031539473510491	0.059438667519725173	0.65450590020338073	0.94056133248027518	Keijzer 1 f(x) = 0.3 * x *sin(2 * PI * x); Interval [-1, 1]	0.069728042539324825	0.026487795341430639	0.94056133248027518	0.069409520277909434	0.94056133248027518	Lower: -3.18245341144794, Upper: 3.09451959610008	00:00:05.1598183	Start: 0, End: 21	Keijzer 1 f(x) = 0.3 * x *sin(2 * PI * x); Interval [-1, 1]	Keijzer 1 f(x) = 0.3 * x *sin(2 * PI * x); Interval [-1, 1]	Start: 21, End: 2022	Start: 0, End: 21	-3.03491417729122 %	416674449	37138	[[1]]
Test_01_Keijzer Run 6	-0.019219681136955491	97	0.95078031886304448	NaN	NaN	Lower: -3.18245341144794, Upper: 3.09451959610008	0	0	0	0	0	0	0.014313645504744784	0.017378730933517304	0.00030755435361430903	0.00058098023143019568	27	40	0.025322654172655223	0.049219681136955795	0.97602064243724718	0.95078031886304448	Keijzer 1 f(x) = 0.3 * x *sin(2 * PI * x); Interval [-1, 1]	0.017537227649041597	0.024103531513664043	0.95078031886304448	0.063444708202686911	0.95078031886304448	Lower: -3.18245341144794, Upper: 3.09451959610008	00:00:05.6134578	Start: 0, End: 21	Keijzer 1 f(x) = 0.3 * x *sin(2 * PI * x); Interval [-1, 1]	Keijzer 1 f(x) = 0.3 * x *sin(2 * PI * x); Interval [-1, 1]	Start: 21, End: 2022	Start: 0, End: 21	-1.98141042649026 %	949819882	37138	[[1]]
Test_01_Keijzer Run 7	-0.044266254651940673	31	0.9257337453480593	NaN	NaN	Lower: -3.18245341144794, Upper: 3.09451959610008	0	0	0	0	0	0	0.022918318341564388	0.022974714013661461	0.00089419454871095586	0.00087662546401061456	8	10	0.073623992162624621	0.074266254651940727	0.92653377420062144	0.9257337453480593	Keijzer 1 f(x) = 0.3 * x *sin(2 * PI * x); Interval [-1, 1]	0.029903085939597535	0.029607861523767882	0.9257337453480593	0.11821952870102038	0.9257337453480593	Lower: -3.18245341144794, Upper: 3.09451959610008	00:00:05.1965151	Start: 0, End: 21	Keijzer 1 f(x) = 0.3 * x *sin(2 * PI * x); Interval [-1, 1]	Keijzer 1 f(x) = 0.3 * x *sin(2 * PI * x); Interval [-1, 1]	Start: 21, End: 2022	Start: 0, End: 21	-4.56353140741656 %	127153764	37108	[[1]]
Test_01_Keijzer Run 8	0.012303380282249088	41	0.98230338028224906	NaN	NaN	Lower: -3.18245341144794, Upper: 3.09451959610008	0	0	0	0	0	0	0.013462883178588738	0.012769808797701329	0.00022744875786185877	0.0002088877047078541	9	12	0.018727116588174577	0.017696619717751036	0.98127910757675152	0.98230338028224906	Keijzer 1 f(x) = 0.3 * x *sin(2 * PI * x); Interval [-1, 1]	0.01508140437299719	0.014452947959079285	0.98230338028224906	0.1150494986295412	0.98230338028224906	Lower: -3.18245341144794, Upper: 3.09451959610008	00:00:04.9524647	Start: 0, End: 21	Keijzer 1 f(x) = 0.3 * x *sin(2 * PI * x); Interval [-1, 1]	Keijzer 1 f(x) = 0.3 * x *sin(2 * PI * x); Interval [-1, 1]	Start: 21, End: 2022	Start: 0, End: 21	1.26838971981949 %	297753502	37118	[[1]]
Test_01_Keijzer Run 9	-0.00719916344281657	106	0.9628008365571834	NaN	NaN	Lower: -3.18245341144794, Upper: 3.09451959610008	0	1	0	0	1	0	0.017347868406257662	0.015583104730323668	0.00055840171551113855	0.0004434773241190208	14	27	0.045976307488849982	0.03757066299979811	0.95585836368337718	0.9628008365571834	Keijzer 1 f(x) = 0.3 * x *sin(2 * PI * x); Interval [-1, 1]	0.023630525079040003	0.021058901303701028	0.9628008365571834	0.10407325059174888	0.9628008365571834	Lower: -3.18245341144794, Upper: 3.09451959610008	00:00:05.7507800	Start: 0, End: 21	Keijzer 1 f(x) = 0.3 * x *sin(2 * PI * x); Interval [-1, 1]	Keijzer 1 f(x) = 0.3 * x *sin(2 * PI * x); Interval [-1, 1]	Start: 21, End: 2022	Start: 0, End: 21	-0.742181798228512 %	951882019	37193	[[1]]
Test_01_Keijzer Run 10	-0.020611491964669715	102	0.94938850803533026	NaN	NaN	Lower: -3.18245341144794, Upper: 3.09451959610008	0	0	0	0	0	0	0.019576443732520842	0.020462075994486104	0.00056016815845924323	0.00059740891520289655	16	42	0.046121748525092453	0.0506114919646696	0.95428346648645934	0.94938850803533026	Keijzer 1 f(x) = 0.3 * x *sin(2 * PI * x); Interval [-1, 1]	0.023667871861644915	0.0244419499059076	0.94938850803533026	0.088317730858020138	0.94938850803533026	Lower: -3.18245341144794, Upper: 3.09451959610008	00:00:05.4601100	Start: 0, End: 21	Keijzer 1 f(x) = 0.3 * x *sin(2 * PI * x); Interval [-1, 1]	Keijzer 1 f(x) = 0.3 * x *sin(2 * PI * x); Interval [-1, 1]	Start: 21, End: 2022	Start: 0, End: 21	-2.12489607883193 %	2138706090	37193	[[1]]
