	AbsoluteDifferenceBestKnownToBest	Best training solution generation	Best training solution quality	Best training solution.Average relative error (test)	Best training solution.Average relative error (training)	Best training solution.Estimation Limits Results.Estimation Limits	Best training solution.Estimation Limits Results.Test Lower Estimation Limit Hits	Best training solution.Estimation Limits Results.Test NaN Evaluations	Best training solution.Estimation Limits Results.Test Upper Estimation Limit Hits	Best training solution.Estimation Limits Results.Training Lower Estimation Limit Hits	Best training solution.Estimation Limits Results.Training NaN Evaluations	Best training solution.Estimation Limits Results.Training Upper Estimation Limit Hits	Best training solution.Mean absolute error (test)	Best training solution.Mean absolute error (training)	Best training solution.Mean squared error (test)	Best training solution.Mean squared error (training)	Best training solution.Model Depth	Best training solution.Model Length	Best training solution.Normalized mean squared error (test)	Best training solution.Normalized mean squared error (training)	Best training solution.Pearson's R² (test)	Best training solution.Pearson's R² (training)	Best training solution.ProblemData	Best training solution.Root mean squared error (test)	Best training solution.Root mean squared error (training)	BestQuality	CurrentAverageQuality	CurrentBestQuality	EstimationLimits	Execution Time	Problem Name	ProblemData	RelativeDifferenceBestKnownToBest	Seed	SymbolicExpressionTreeInterpreter.EvaluatedSolutions	Variable impacts
Test_01_Korn Run 1	0.030000000000000027	0	1	0.00000000000008342505 %	0.00000000000008344426 %	Lower: -24304.1290987541, Upper: 24273.2038244294	0	0	0	0	0	0	4.7457615615087432E-13	4.76047801178936E-13	3.0442478082526945E-25	3.0787533793695504E-25	11	14	6.164095954045395E-31	6.264007968741959E-31	1	1	Korns 1 y = 1.57 + (24.3 * X3)	5.5174702611366152E-13	5.5486515293083154E-13	1	0.0799447031589198	1	Lower: -24304.1290987541, Upper: 24273.2038244294	00:00:24.3600092	Korns 1 y = 1.57 + (24.3 * X3)	Korns 1 y = 1.57 + (24.3 * X3)	3.09278350515464 %	11102380	28821	[[0.273][0.202][0.181][0.174][0.17]]
Test_01_Korn Run 2	0.030000000000000027	1	1	0.00000000000013773902 %	0.00000000000013664368 %	Lower: -24304.1290987541, Upper: 24273.2038244294	0	0	0	0	0	0	7.0849626165880864E-13	7.0678396468792928E-13	6.7375995390802337E-25	6.7255028588635088E-25	6	9	1.3642519490770407E-30	1.3683656438355167E-30	0.99999999999999933	1	Korns 1 y = 1.57 + (24.3 * X3)	8.208288213190515E-13	8.2009163261574065E-13	1	0.060001189003548457	1	Lower: -24304.1290987541, Upper: 24273.2038244294	00:00:23.2541492	Korns 1 y = 1.57 + (24.3 * X3)	Korns 1 y = 1.57 + (24.3 * X3)	3.09278350515464 %	779448582	28826	[[0.298][0.224][0.181][0.151][0.146]]
Test_01_Korn Run 3	0.030000000000000027	0	1	0.00000000000309463951 %	0.00000000000299184562 %	Lower: -24304.1290987541, Upper: 24273.2038244294	0	0	0	0	0	0	3.8422625525669221E-12	3.8693771298170534E-12	2.2067068745136589E-23	2.2296972431598008E-23	8	12	4.4682147360273948E-29	4.5365248780969431E-29	0.99999999999999889	1	Korns 1 y = 1.57 + (24.3 * X3)	4.6975598713732847E-12	4.72196700873672E-12	1	0.10797263841400646	1	Lower: -24304.1290987541, Upper: 24273.2038244294	00:00:16.8849218	Korns 1 y = 1.57 + (24.3 * X3)	Korns 1 y = 1.57 + (24.3 * X3)	3.09278350515464 %	1297192619	28821	[[0.237][0.215][0.197][0.179][0.172]]
Test_01_Korn Run 4	0.030000000000000027	0	1	0.00000000000227449547 %	0.00000000000218828684 %	Lower: -24304.1290987541, Upper: 24273.2038244294	0	0	0	0	0	0	2.5816150550639351E-12	2.5561460947898239E-12	9.9017701263977033E-24	9.7494157440247316E-24	8	15	2.0049439145050372E-29	1.983608635897126E-29	1	1	Korns 1 y = 1.57 + (24.3 * X3)	3.1467078234875418E-12	3.1224054419669353E-12	1	0.091697350914960646	1	Lower: -24304.1290987541, Upper: 24273.2038244294	00:00:19.8121678	Korns 1 y = 1.57 + (24.3 * X3)	Korns 1 y = 1.57 + (24.3 * X3)	3.09278350515464 %	2045971369	28821	[[0.364][0.211][0.195][0.117][0.113]]
Test_01_Korn Run 5	0.030000000000000027	0	1	0.00000000000056285968 %	0.00000000000055920024 %	Lower: -24304.1290987541, Upper: 24273.2038244294	0	0	0	0	0	0	3.23166937654662E-12	3.2201225463879269E-12	1.3927056252317425E-23	1.3857240437738617E-23	5	7	2.8199974674843013E-29	2.8193834916567093E-29	0.99999999999999911	1	Korns 1 y = 1.57 + (24.3 * X3)	3.7318971384963736E-12	3.7225314555740982E-12	1	0.0955095275902397	1	Lower: -24304.1290987541, Upper: 24273.2038244294	00:00:18.8077729	Korns 1 y = 1.57 + (24.3 * X3)	Korns 1 y = 1.57 + (24.3 * X3)	3.09278350515464 %	678564509	28821	[[0.307][0.177][0.174][0.174][0.168]]
Test_01_Korn Run 6	0.030000000000000027	0	1	0.00000000000028368598 %	0.00000000000028356051 %	Lower: -24304.1290987541, Upper: 24273.2038244294	0	0	0	0	0	0	1.7118309991737136E-12	1.7066999147274941E-12	3.9095352140876135E-24	3.89743749010314E-24	7	10	7.916159167471777E-30	7.9296963697297067E-30	1	1	Korns 1 y = 1.57 + (24.3 * X3)	1.9772544636661244E-12	1.9741928705430835E-12	1	0.080838865344924141	1	Lower: -24304.1290987541, Upper: 24273.2038244294	00:00:20.3717028	Korns 1 y = 1.57 + (24.3 * X3)	Korns 1 y = 1.57 + (24.3 * X3)	3.09278350515464 %	721239354	28821	[[0.233][0.21][0.196][0.181][0.181]]
Test_01_Korn Run 7	0.030000000000000027	0	1	0.00000000000111503124 %	0.00000000000107600341 %	Lower: -24304.1290987541, Upper: 24273.2038244294	0	0	0	0	0	0	2.4115989649686755E-12	2.3946257865503638E-12	8.0968468761045519E-24	7.9952518408169792E-24	6	9	1.6394769484343539E-29	1.6267077960376357E-29	1	1	Korns 1 y = 1.57 + (24.3 * X3)	2.8454958928286212E-12	2.8275876362753073E-12	1	0.082839280573861612	1	Lower: -24304.1290987541, Upper: 24273.2038244294	00:00:23.4142435	Korns 1 y = 1.57 + (24.3 * X3)	Korns 1 y = 1.57 + (24.3 * X3)	3.09278350515464 %	837187817	28821	[[0.267][0.205][0.192][0.187][0.149]]
Test_01_Korn Run 8	0.030000000000000027	0	1	0.00000000000041695877 %	0.00000000000041591785 %	Lower: -24304.1290987541, Upper: 24273.2038244294	0	0	0	0	0	0	2.4959790567713468E-12	2.4883529015085061E-12	8.311134818531398E-24	8.2817901529982732E-24	5	7	1.6828666959881882E-29	1.685006660860021E-29	1	1	Korns 1 y = 1.57 + (24.3 * X3)	2.8829038864539687E-12	2.8778099577627207E-12	1	0.10686586436748638	1	Lower: -24304.1290987541, Upper: 24273.2038244294	00:00:20.3166404	Korns 1 y = 1.57 + (24.3 * X3)	Korns 1 y = 1.57 + (24.3 * X3)	3.09278350515464 %	1863646465	28821	[[0.314][0.202][0.185][0.176][0.123]]
Test_01_Korn Run 9	0.030000000000000027	0	1	0.00000000000069591754 %	0.00000000000069076781 %	Lower: -24304.1290987541, Upper: 24273.2038244294	0	0	0	0	0	0	3.9162185050400922E-12	3.9035069177018041E-12	2.0455456327413062E-23	2.0373402786535929E-23	7	10	4.1418900013376424E-29	4.1451568761699171E-29	1	1	Korns 1 y = 1.57 + (24.3 * X3)	4.5227708683298411E-12	4.51369059490523E-12	1	0.090510265623964511	1	Lower: -24304.1290987541, Upper: 24273.2038244294	00:00:21.8336673	Korns 1 y = 1.57 + (24.3 * X3)	Korns 1 y = 1.57 + (24.3 * X3)	3.09278350515464 %	1762685930	28821	[[0.25][0.227][0.197][0.174][0.153]]
Test_01_Korn Run 10	0.030000000000000027	2	1	0.00000000000027619591 %	0.00000000000027289173 %	Lower: -24304.1290987541, Upper: 24273.2038244294	0	0	0	0	0	0	1.4440162510176436E-12	1.4366593914516558E-12	2.788350065287256E-24	2.7643936112603377E-24	5	7	5.6459455466486878E-30	5.6244140000652006E-30	1	1	Korns 1 y = 1.57 + (24.3 * X3)	1.6698353407708365E-12	1.6626465683543023E-12	1	0.069791547684623048	1	Lower: -24304.1290987541, Upper: 24273.2038244294	00:00:19.6912653	Korns 1 y = 1.57 + (24.3 * X3)	Korns 1 y = 1.57 + (24.3 * X3)	3.09278350515464 %	406454062	28826	[[0.268][0.248][0.2][0.19][0.095]]
Test_01_Korn Run 11	0.030000000000000027	0	1	0.00000000000042282866 %	0.00000000000040828259 %	Lower: -24304.1290987541, Upper: 24273.2038244294	0	0	0	0	0	0	8.867290457459376E-13	8.7980525087516522E-13	1.1016439531512646E-24	1.0852338342598645E-24	6	9	2.2306459467620995E-30	2.208008420325062E-30	1	1	Korns 1 y = 1.57 + (24.3 * X3)	1.04959227948345E-12	1.0417455707896553E-12	1	0.15508132718718595	1	Lower: -24304.1290987541, Upper: 24273.2038244294	00:00:19.9557737	Korns 1 y = 1.57 + (24.3 * X3)	Korns 1 y = 1.57 + (24.3 * X3)	3.09278350515464 %	1391970363	28821	[[0.235][0.232][0.207][0.178][0.148]]
Test_01_Korn Run 1	0.02902380143916683	105	0.9990238014391668	4664.92916796263 %	6130.59351412678 %	Lower: -8564582.29928071, Upper: 8564750.40588309	0	4876	0	0	4993	0	81.72258630062997	63.601551976519822	2703821.573565966	71506.365129740254	26	51	8.9808912800606091	0.0010015949054311335	0.40125253421169249	0.9990238014391668	Korns 2 y = 0.23 + (14.2 * ((X3 + X1) / (3.0 * X4)))	1644.3301291303903	267.4067409953239	0.9990238014391668	0.094799087760581588	0.9990238014391668	Lower: -8564582.29928071, Upper: 8564750.40588309	00:00:27.5732782	Korns 2 y = 0.23 + (14.2 * ((X3 + X1) / (3.0 * X4)))	Korns 2 y = 0.23 + (14.2 * ((X3 + X1) / (3.0 * X4)))	2.99214447826462 %	773704306	28951	[[0.313][0.22][0.186][0.186][0.095]]
